Day,Leaf Area
1,10.0
2,10.132486907273265
3,10.220251779000263
4,10.309688343954994
5,10.38822897151187
6,10.505537124098364
7,10.559506350160758
8,10.694402585445088
9,10.779178447427187
10,10.88555922934833
11,10.980571821838781
12,11.10981398057968
13,11.168611166389727
14,11.262162822309458
15,11.354481735216089
16,11.477157124062797
17,11.555159298716516
18,11.651710734565507
19,11.734153566207079
20,11.83499784114139
21,11.946654145415707
22,12.024641761871449
23,12.147536236068241
24,12.265568050480097
25,12.375617937258134
26,12.493635056243422
27,12.579960499059935
28,12.677502694549561
29,12.75878730586438
30,12.85342954427186
31,12.964036653606623
32,13.050203438572117
33,13.142268368034998
34,13.228524914032606
35,13.311620801202633
36,13.398195878585897
37,13.497942586607518
38,13.575596379634813
39,13.680284693591155
40,13.813480737133352
41,13.9283216203449
42,14.024484909297668
43,14.106732330015971
44,14.191789164140955
45,14.32563825616151
46,14.42665441125703
47,14.513914498325642
48,14.61773280801899
49,14.759737910748568
50,14.8621410897982
51,14.974485151992349
52,15.080488558391465
53,15.173443561461594
54,15.250593197501152
55,15.343606343052894
56,15.439428458385398
57,15.551160922209043
58,15.667940590486532
59,15.786562632112604
60,15.892274378617689
61,16.009977201903105
62,16.094889243083173
63,16.21994660618784
64,16.3302052025962
65,16.424243345894148
66,16.534013708824897
67,16.632502274564477
68,16.755134862313504
69,16.88553119864195
70,17.029242706772614
71,17.10131278006285
72,17.17243050395426
73,17.26234118669533
74,17.365541928084287
75,17.48306530650661
76,17.589378005451444
77,17.648933981134963
78,17.742809900882396
79,17.85936939373454
80,17.963971288441826
81,18.079211512048065
82,18.174764949195858
83,18.27074978781726
84,18.374481015637024
85,18.48268204858119
86,18.586648042983725
87,18.689028215899874
88,18.775614970174093
89,18.88316624590051
90,18.98560267132034
91,19.10819234947858
92,19.23217070707661
93,19.335873835426288
94,19.428368136424485
95,19.5155935282754
96,19.62406341535668
97,19.725610216723652
98,19.81873314321223
99,19.919605080348916
100,20.007205063469954
101,20.121165704151398
102,20.212223132855677
103,20.336713286951788
104,20.444783119787605
105,20.556654690252348
106,20.634756453337527
107,20.7381441019987
108,20.852955231020626
109,20.933881218984467
110,21.028556848864394
111,21.12920913979826
112,21.201746793393326
113,21.308049981234173
114,21.424973194185874
115,21.507782875369234
116,21.614793794942514
117,21.688548126717766
118,21.787774216532444
119,21.85545876943838
120,21.977887123603093
121,22.086065134361828
122,22.185572795244312
123,22.27006956286093
124,22.395544681464106
125,22.5348867164492
126,22.597727079160265
127,22.722450359769322
128,22.8550033748323
129,22.96176360876379
130,23.037778248117085
131,23.155045154467967
132,23.251426748426404
133,23.33934833587054
134,23.4147471731572
135,23.525757923076725
136,23.641614060395113
137,23.72914344580152
138,23.839554972542988
139,23.916668144750524
140,24.03270536538795
141,24.133636711356434
142,24.229905315918288
143,24.327870398467706
144,24.445248121607822
145,24.560256354405123
146,24.670845660892176
147,24.773599685092123
148,24.875156107650376
149,24.987523712890347
150,25.09217360407392
151,25.20582463221121
152,25.29962229674085
153,25.350925541458707
154,25.471702033495895
155,25.61544162643538
156,25.72426891530675
157,25.82226581064108
158,25.91953691576316
159,26.017155832007663
160,26.117504020173662
161,26.195063645598726
162,26.28472175644032
163,26.364781219887313
164,26.46975720311507
165,26.56382438006765
166,26.67372860654721
167,26.770234543352363
168,26.889961247108786
169,26.994231925135495
170,27.13804591971489
171,27.200118701257068
172,27.28718036749197
173,27.405210105324944
174,27.55577661946107
175,27.65080392390676
176,27.75167730377033
177,27.847151018920055
178,27.973780161171806
179,28.068034003902287
180,28.18163540069985
